Species	Accession
Escherichia coli K-12	GCF_000005845.2
Acinetobacter baumannii	GCF_008632635.1
Pluralibacter gergoviae	GCF_003019925.1
Klebsiella pneumoniae	GCF_000240185.2
Proteus mirabilis	GCF_000069965.1
Providencia stuartii	GCF_029277985.1
Serratia marcescens	GCF_003516165.1
